run_id,folder,batch_size,dropout,hidden_dim,learning_rate,n_bins,n_layers,patience,pca_variance,weight_decay,accuracy,precision,recall,f1,auroc,avg_precision,best_val_loss,final_train_loss,train_val_gap,epochs_trained,train_time_sec,n_pca_total,n_pca_fp,n_pca_ch,tail_bound,TP,FP,TN,FN
75,run_0075,64,0.4,24,0.0003,8,4,20,0.9,0.0001,0.913,0.7536,0.9455,0.8387,0.9605,0.8673,129.7312,109.5332,21.238,116,13.9,85,56,29,32.25,52,17,158,3
76,run_0076,64,0.4,24,0.0003,8,8,20,0.9,0.0001,0.9174,0.75,0.9818,0.8504,0.9602,0.8096,121.0851,89.0701,33.169,116,28.4,85,56,29,32.25,54,18,157,1
77,run_0077,64,0.4,24,0.0005,5,4,20,0.9,0.0001,0.9087,0.7576,0.9091,0.8264,0.9615,0.8637,124.7051,99.7955,25.9241,74,9.7,85,56,29,32.25,50,16,159,5
78,run_0078,64,0.4,24,0.0005,5,8,20,0.9,0.0001,0.8913,0.7273,0.8727,0.7934,0.9448,0.8216,116.0149,83.1162,35.8033,61,14.8,85,56,29,32.25,48,18,157,7
79,run_0079,64,0.4,24,0.0005,8,4,20,0.9,0.0001,0.913,0.7397,0.9818,0.8438,0.9725,0.9128,131.2373,106.1173,26.688,74,9.5,85,56,29,32.25,54,19,156,1
80,run_0080,64,0.4,24,0.0005,8,8,20,0.9,0.0001,0.9217,0.7846,0.9273,0.85,0.9751,0.9194,129.0166,87.5118,54.2786,74,18.7,85,56,29,32.25,51,14,161,4
81,run_0081,64,0.4,32,0.0003,5,4,20,0.9,0.0001,0.9087,0.7429,0.9455,0.832,0.967,0.8921,125.6968,101.6443,25.3293,82,9.4,85,56,29,32.25,52,18,157,3
82,run_0082,64,0.4,32,0.0003,5,8,20,0.9,0.0001,0.887,0.7377,0.8182,0.7759,0.9434,0.7992,114.5718,83.9087,31.7014,61,14.5,85,56,29,32.25,45,16,159,10
83,run_0083,64,0.4,32,0.0003,8,4,20,0.9,0.0001,0.9043,0.7391,0.9273,0.8226,0.9612,0.8722,132.1066,106.0526,28.1828,83,10.9,85,56,29,32.25,51,18,157,4
84,run_0084,64,0.4,32,0.0003,8,8,20,0.9,0.0001,0.913,0.7778,0.8909,0.8305,0.9632,0.8755,124.7093,89.9641,35.5491,73,18.9,85,56,29,32.25,49,14,161,6
85,run_0085,64,0.4,32,0.0005,5,4,20,0.9,0.0001,0.913,0.7397,0.9818,0.8438,0.9649,0.8763,125.5181,96.624,31.2064,56,6.9,85,56,29,32.25,54,19,156,1
86,run_0086,64,0.4,32,0.0005,5,8,20,0.9,0.0001,0.8739,0.6857,0.8727,0.768,0.9442,0.8263,117.931,75.2339,47.2543,60,14.6,85,56,29,32.25,48,22,153,7
87,run_0087,64,0.4,32,0.0005,8,4,20,0.9,0.0001,0.9,0.75,0.8727,0.8067,0.958,0.8723,136.0531,103.4023,36.3001,54,6.9,85,56,29,32.25,48,16,159,7
88,run_0088,64,0.4,32,0.0005,8,8,20,0.9,0.0001,0.9,0.7353,0.9091,0.813,0.96,0.8716,126.6814,78.7745,52.8167,78,20.0,85,56,29,32.25,50,18,157,5
89,run_0089,64,0.4,64,0.0003,5,4,20,0.9,0.0001,0.9174,0.8214,0.8364,0.8288,0.9689,0.9077,129.4985,94.6322,38.9925,45,5.8,85,56,29,32.25,46,10,165,9
90,run_0090,64,0.4,64,0.0003,5,8,20,0.9,0.0001,0.9087,0.7833,0.8545,0.8174,0.9626,0.8909,119.4421,77.6197,46.5292,42,10.9,85,56,29,32.25,47,13,162,8
91,run_0091,64,0.4,64,0.0003,8,4,20,0.9,0.0001,0.8783,0.6667,0.9818,0.7941,0.9486,0.8258,137.8361,102.6977,36.3676,46,6.7,85,56,29,32.25,54,27,148,1
92,run_0092,64,0.4,64,0.0003,8,8,20,0.9,0.0001,0.8957,0.7313,0.8909,0.8033,0.9518,0.8473,128.1523,86.5546,45.0836,46,11.9,85,56,29,32.25,49,18,157,6
93,run_0093,64,0.4,64,0.0005,5,4,20,0.9,0.0001,0.9043,0.7391,0.9273,0.8226,0.9618,0.8832,129.6344,90.2748,44.4079,35,4.6,85,56,29,32.25,51,18,157,4
94,run_0094,64,0.4,64,0.0005,5,8,20,0.9,0.0001,0.8739,0.7097,0.8,0.7521,0.9411,0.8189,121.7958,74.2542,51.1503,38,9.7,85,56,29,32.25,44,18,157,11
95,run_0095,64,0.4,64,0.0005,8,4,20,0.9,0.0001,0.9043,0.7705,0.8545,0.8103,0.9645,0.896,145.1096,94.8142,58.9216,48,6.3,85,56,29,32.25,47,14,161,8
96,run_0096,64,0.4,64,0.0005,8,8,20,0.9,0.0001,0.8565,0.625,1.0,0.7692,0.9386,0.787,134.4294,83.5028,58.0218,40,10.9,85,56,29,32.25,55,33,142,0
